EVENT_LOG | OS-Level Chat Server | 2026-04-16 01:54:41
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
75         2246.363  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
76         2246.364  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
77         2246.427  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
78         2246.428  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=2    Leo
79         2246.428  SEM_POST           tid=4   room=-  sem=50   msgs=2    Leo
80         2447.164  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
81         2447.166  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
82         2447.167  ACQUIRED_LOCK      tid=6   room=A  sem=-1   msgs=0    Mia
83         2447.228  RELEASED_LOCK      tid=6   room=A  sem=-1   msgs=0    Mia
84         2447.228  MSG_BROADCAST      tid=6   room=A  sem=49   msgs=2    Mia
85         2447.229  SEM_POST           tid=6   room=-  sem=50   msgs=2    Mia
86         2651.376  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
87         2651.378  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
88         2651.379  ACQUIRED_LOCK      tid=5   room=B  sem=-1   msgs=0    Nick
89         2651.457  RELEASED_LOCK      tid=5   room=B  sem=-1   msgs=0    Nick
90         2651.457  MSG_BROADCAST      tid=5   room=B  sem=49   msgs=2    Nick
91         2651.457  SEM_POST           tid=5   room=-  sem=50   msgs=2    Nick
92         2850.434  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
93         2850.435  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
94         2850.436  ACQUIRED_LOCK      tid=0   room=C  sem=-1   msgs=0    Olivia
95         2850.444  RELEASED_LOCK      tid=0   room=C  sem=-1   msgs=0    Olivia
96         2850.444  MSG_BROADCAST      tid=0   room=C  sem=49   msgs=2    Olivia
97         2850.444  SEM_POST           tid=0   room=-  sem=50   msgs=2    Olivia
98         3054.364  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
99         3054.365  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
100        3054.366  ACQUIRED_LOCK      tid=1   room=A  sem=-1   msgs=0    Paul
101        3054.758  RELEASED_LOCK      tid=1   room=A  sem=-1   msgs=0    Paul
102        3054.759  MSG_BROADCAST      tid=1   room=A  sem=49   msgs=2    Paul
103        3054.759  SEM_POST           tid=1   room=-  sem=50   msgs=2    Paul
104        3255.437  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
105        3255.439  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
106        3255.442  PRIVATE_MSG        tid=4   room=-  sem=-1   msgs=0    T4->T5 Quinn
