EVENT_LOG | OS-Level Chat Server | 2026-04-24 02:38:11
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
76          291.472  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
77          291.473  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Leo
78          291.473  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=2    Leo
79          291.473  SEM_POST           tid=4   room=-  sem=50   msgs=2    Leo
80          318.309  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
81          318.313  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
82          318.314  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Mia
83          318.315  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Mia
84          318.315  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=2    Mia
85          318.315  SEM_POST           tid=5   room=-  sem=50   msgs=2    Mia
86          338.874  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
87          338.876  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
88          338.878  ACQUIRED_LOCK      tid=0   room=B  sem=-1   msgs=0    Nick
89          338.878  RELEASED_LOCK      tid=0   room=B  sem=-1   msgs=0    Nick
90          338.878  MSG_BROADCAST      tid=0   room=B  sem=49   msgs=3    Nick
91          338.879  SEM_POST           tid=0   room=-  sem=50   msgs=3    Nick
92          359.334  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
93          359.340  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
94          359.343  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Olivia
95          359.344  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Olivia
96          359.344  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=2    Olivia
97          359.344  SEM_POST           tid=1   room=-  sem=50   msgs=2    Olivia
98          379.938  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
99          379.940  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
100         379.942  ACQUIRED_LOCK      tid=6   room=A  sem=-1   msgs=0    Paul
101         379.943  RELEASED_LOCK      tid=6   room=A  sem=-1   msgs=0    Paul
102         379.943  MSG_BROADCAST      tid=6   room=A  sem=49   msgs=2    Paul
103         379.943  SEM_POST           tid=6   room=-  sem=50   msgs=2    Paul
104         416.484  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
105         416.486  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
106         416.489  PRIVATE_MSG        tid=1   room=-  sem=-1   msgs=0    T1->T3 Quinn
107         416.492  PRIVATE_MSG        tid=7   room=P  sem=49   msgs=2    Quinn
108         416.492  SEM_POST           tid=7   room=-  sem=50   msgs=2    Quinn
109         436.254  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
110         436.257  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
111         436.257  ACQUIRED_LOCK      tid=2   room=C  sem=-1   msgs=0    Rose
112         436.258  RELEASED_LOCK      tid=2   room=C  sem=-1   msgs=0    Rose
113         436.258  MSG_BROADCAST      tid=2   room=C  sem=49   msgs=3    Rose
114         436.258  SEM_POST           tid=2   room=-  sem=50   msgs=3    Rose
115         457.118  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
116         457.121  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
117         457.123  ACQUIRED_LOCK      tid=3   room=A  sem=-1   msgs=0    Sam
118         457.124  RELEASED_LOCK      tid=3   room=A  sem=-1   msgs=0    Sam
119         457.124  MSG_BROADCAST      tid=3   room=A  sem=49   msgs=3    Sam
120         457.124  SEM_POST           tid=3   room=-  sem=50   msgs=3    Sam
121         484.954  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
122         484.960  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
123         484.961  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
124         484.962  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
125         484.962  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=3    Tina
126         484.962  SEM_POST           tid=4   room=-  sem=50   msgs=3    Tina
127         506.261  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
128         506.264  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
129         506.266  ACQUIRED_LOCK      tid=5   room=C  sem=-1   msgs=0    Alice
130         506.267  RELEASED_LOCK      tid=5   room=C  sem=-1   msgs=0    Alice
131         506.267  MSG_BROADCAST      tid=5   room=C  sem=49   msgs=3    Alice
132         506.267  SEM_POST           tid=5   room=-  sem=50   msgs=3    Alice
133         531.217  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
134         531.224  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
135         531.226  ACQUIRED_LOCK      tid=0   room=A  sem=-1   msgs=0    Bob
136         531.227  RELEASED_LOCK      tid=0   room=A  sem=-1   msgs=0    Bob
137         531.227  MSG_BROADCAST      tid=0   room=A  sem=49   msgs=4    Bob
138         531.228  SEM_POST           tid=0   room=-  sem=50   msgs=4    Bob
139         563.448  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
140         563.450  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
141         563.451  ACQUIRED_LOCK      tid=1   room=B  sem=-1   msgs=0    Charlie
