EVENT_LOG | OS-Level Chat Server | 2026-04-22 22:11:32
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
75         2203.247  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
76         2203.247  ACQUIRED_LOCK      tid=3   room=C  sem=-1   msgs=0    Leo
77         2203.253  RELEASED_LOCK      tid=3   room=C  sem=-1   msgs=0    Leo
78         2203.253  MSG_BROADCAST      tid=3   room=C  sem=49   msgs=2    Leo
79         2203.254  SEM_POST           tid=3   room=-  sem=50   msgs=2    Leo
80         2403.356  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
81         2403.360  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
82         2403.364  ACQUIRED_LOCK      tid=4   room=A  sem=-1   msgs=0    Mia
83         2403.372  RELEASED_LOCK      tid=4   room=A  sem=-1   msgs=0    Mia
84         2403.373  MSG_BROADCAST      tid=4   room=A  sem=49   msgs=2    Mia
85         2403.373  SEM_POST           tid=4   room=-  sem=50   msgs=2    Mia
86         2603.478  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
87         2603.481  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
88         2603.482  ACQUIRED_LOCK      tid=5   room=B  sem=-1   msgs=0    Nick
89         2603.488  RELEASED_LOCK      tid=5   room=B  sem=-1   msgs=0    Nick
90         2603.489  MSG_BROADCAST      tid=5   room=B  sem=49   msgs=2    Nick
91         2603.489  SEM_POST           tid=5   room=-  sem=50   msgs=2    Nick
92         2803.650  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
93         2803.651  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
94         2803.652  ACQUIRED_LOCK      tid=6   room=C  sem=-1   msgs=0    Olivia
95         2803.654  RELEASED_LOCK      tid=6   room=C  sem=-1   msgs=0    Olivia
96         2803.654  MSG_BROADCAST      tid=6   room=C  sem=49   msgs=2    Olivia
97         2803.654  SEM_POST           tid=6   room=-  sem=50   msgs=2    Olivia
98         3003.821  SEM_BLOCK          tid=7   room=-  sem=50   msgs=0    about to wait
99         3003.826  SEM_WAIT           tid=7   room=-  sem=49   msgs=0    ADMITTED
100        3003.826  ACQUIRED_LOCK      tid=7   room=A  sem=-1   msgs=0    Paul
101        3003.832  RELEASED_LOCK      tid=7   room=A  sem=-1   msgs=0    Paul
102        3003.832  MSG_BROADCAST      tid=7   room=A  sem=49   msgs=2    Paul
103        3003.832  SEM_POST           tid=7   room=-  sem=50   msgs=2    Paul
104        3203.959  SEM_BLOCK          tid=0   room=-  sem=50   msgs=0    about to wait
105        3203.962  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
106        3203.965  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T3 Quinn
107        3203.982  PRIVATE_MSG        tid=0   room=P  sem=49   msgs=3    Quinn
108        3203.982  SEM_POST           tid=0   room=-  sem=50   msgs=3    Quinn
109        3404.114  SEM_BLOCK          tid=1   room=-  sem=50   msgs=0    about to wait
110        3404.117  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
111        3404.118  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Rose
112        3404.124  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Rose
113        3404.124  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=3    Rose
114        3404.125  SEM_POST           tid=1   room=-  sem=50   msgs=3    Rose
115        3604.296  SEM_BLOCK          tid=2   room=-  sem=50   msgs=0    about to wait
116        3604.300  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
117        3604.301  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Sam
118        3604.307  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Sam
119        3604.307  MSG_BROADCAST      tid=2   room=A  sem=49   msgs=3    Sam
120        3604.308  SEM_POST           tid=2   room=-  sem=50   msgs=3    Sam
121        3804.465  SEM_BLOCK          tid=3   room=-  sem=50   msgs=0    about to wait
122        3804.468  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
123        3804.469  ACQUIRED_LOCK      tid=3   room=B  sem=-1   msgs=0    Tina
124        3804.479  RELEASED_LOCK      tid=3   room=B  sem=-1   msgs=0    Tina
125        3804.480  MSG_BROADCAST      tid=3   room=B  sem=49   msgs=3    Tina
126        3804.480  SEM_POST           tid=3   room=-  sem=50   msgs=3    Tina
127        4004.634  SEM_BLOCK          tid=4   room=-  sem=50   msgs=0    about to wait
128        4004.637  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
129        4004.637  ACQUIRED_LOCK      tid=4   room=C  sem=-1   msgs=0    Alice
130        4004.644  RELEASED_LOCK      tid=4   room=C  sem=-1   msgs=0    Alice
131        4004.644  MSG_BROADCAST      tid=4   room=C  sem=49   msgs=3    Alice
132        4004.645  SEM_POST           tid=4   room=-  sem=50   msgs=3    Alice
133        4204.805  SEM_BLOCK          tid=5   room=-  sem=50   msgs=0    about to wait
134        4204.809  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
135        4204.809  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Bob
136        4204.816  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Bob
137        4204.816  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=3    Bob
138        4204.817  SEM_POST           tid=5   room=-  sem=50   msgs=3    Bob
139        4404.971  SEM_BLOCK          tid=6   room=-  sem=50   msgs=0    about to wait
140        4404.974  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
