EVENT_LOG | OS-Level Chat Server | 2026-04-15 21:08:52
----------------------------------------------------------------
LINE  TIMESTAMP_MS   EVENT              TID    ROOM   SEM    MSGS   DETAIL
75         2623.003  RELEASED_LOCK      tid=7   room=B  sem=-1   msgs=0    Nick
76         2623.003  MSG_BROADCAST      tid=7   room=B  sem=49   msgs=2    Nick
77         2623.003  SEM_POST           tid=7   room=-  sem=50   msgs=2    Nick
78         2831.439  SEM_WAIT           tid=0   room=-  sem=49   msgs=0    ADMITTED
79         2831.441  ACQUIRED_LOCK      tid=0   room=C  sem=-1   msgs=0    Olivia
80         2831.441  RELEASED_LOCK      tid=0   room=C  sem=-1   msgs=0    Olivia
81         2831.441  MSG_BROADCAST      tid=0   room=C  sem=49   msgs=3    Olivia
82         2831.442  SEM_POST           tid=0   room=-  sem=50   msgs=3    Olivia
83         3032.011  SEM_WAIT           tid=2   room=-  sem=49   msgs=0    ADMITTED
84         3032.014  ACQUIRED_LOCK      tid=2   room=A  sem=-1   msgs=0    Paul
85         3032.015  RELEASED_LOCK      tid=2   room=A  sem=-1   msgs=0    Paul
86         3032.015  MSG_BROADCAST      tid=2   room=A  sem=49   msgs=2    Paul
87         3032.015  SEM_POST           tid=2   room=-  sem=50   msgs=2    Paul
88         3232.806  SEM_WAIT           tid=6   room=-  sem=49   msgs=0    ADMITTED
89         3232.812  PRIVATE_MSG        tid=6   room=-  sem=-1   msgs=0    T6->T1 Quinn
90         3232.829  PRIVATE_MSG        tid=6   room=P  sem=49   msgs=2    Quinn
91         3232.829  SEM_POST           tid=6   room=-  sem=50   msgs=2    Quinn
92         3435.947  SEM_WAIT           tid=1   room=-  sem=49   msgs=0    ADMITTED
93         3435.949  ACQUIRED_LOCK      tid=1   room=C  sem=-1   msgs=0    Rose
94         3435.950  RELEASED_LOCK      tid=1   room=C  sem=-1   msgs=0    Rose
95         3435.950  MSG_BROADCAST      tid=1   room=C  sem=49   msgs=3    Rose
96         3435.950  SEM_POST           tid=1   room=-  sem=50   msgs=3    Rose
97         3636.817  SEM_WAIT           tid=5   room=-  sem=49   msgs=0    ADMITTED
98         3636.821  ACQUIRED_LOCK      tid=5   room=A  sem=-1   msgs=0    Sam
99         3636.822  RELEASED_LOCK      tid=5   room=A  sem=-1   msgs=0    Sam
100        3636.822  MSG_BROADCAST      tid=5   room=A  sem=49   msgs=3    Sam
101        3636.822  SEM_POST           tid=5   room=-  sem=50   msgs=3    Sam
102        3837.643  SEM_WAIT           tid=4   room=-  sem=49   msgs=0    ADMITTED
103        3837.645  ACQUIRED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
104        3837.645  RELEASED_LOCK      tid=4   room=B  sem=-1   msgs=0    Tina
105        3837.645  MSG_BROADCAST      tid=4   room=B  sem=49   msgs=3    Tina
106        3837.645  SEM_POST           tid=4   room=-  sem=50   msgs=3    Tina
107        4038.109  SEM_WAIT           tid=3   room=-  sem=49   msgs=0    ADMITTED
